Date,Open,High,Low,Close,Adj Close,Volume
2017-07-14,1520.000000,1536.000000,1515.550049,1533.750000,1533.750000,4693011
2017-07-17,1537.000000,1559.599976,1537.000000,1551.750000,1551.750000,4285809
2017-07-18,1546.800049,1551.800049,1511.000000,1519.900024,1519.900024,4489412
2017-07-19,1512.599976,1538.000000,1512.599976,1532.949951,1532.949951,2695041
2017-07-20,1539.750000,1550.000000,1523.699951,1528.900024,1528.900024,3114686
2017-07-21,1550.000000,1591.699951,1544.949951,1585.000000,1585.000000,22205112
2017-07-24,1600.000000,1624.900024,1585.000000,1615.250000,1615.250000,9927229
2017-07-25,1624.699951,1624.949951,1597.599976,1602.150024,1602.150024,4586079
2017-07-26,1604.199951,1629.900024,1601.099976,1622.750000,1622.750000,5018389
2017-07-27,1628.000000,1631.500000,1588.349976,1594.800049,1594.800049,4208071
2017-07-28,1591.250000,1605.949951,1578.000000,1594.449951,1594.449951,3276023
2017-07-31,1601.949951,1618.800049,1596.000000,1615.199951,1615.199951,3787034
2017-08-01,1622.750000,1622.750000,1591.500000,1603.599976,1603.599976,2814298
2017-08-02,1610.000000,1635.699951,1608.099976,1629.199951,1629.199951,4751385
2017-08-03,1626.849976,1664.900024,1617.050049,1650.099976,1650.099976,4504776
2017-08-04,1663.000000,1663.000000,1615.099976,1622.150024,1622.150024,4247045
2017-08-07,1631.599976,1631.599976,1612.550049,1616.349976,1616.349976,2180018
2017-08-08,1618.000000,1621.050049,1586.800049,1602.550049,1602.550049,2505568
2017-08-09,1601.500000,1620.000000,1585.000000,1598.800049,1598.800049,2385643
2017-08-10,1593.050049,1606.650024,1577.949951,1584.349976,1584.349976,2328843
2017-08-11,1550.949951,1580.000000,1533.000000,1546.250000,1546.250000,3885064
